source	split	pnx	seg	no seg	total
Quran	train	<s>.</s>	0	0	0
Quran	train	<s>,</s>	0	0	0
Quran	train	<s>؛</s>	0	0	0
Quran	train	<s>!</s>	0	0	0
Quran	train	<s>؟</s>	0	0	0
Green Library	train	<s>.</s>	2464	202	2666
Green Library	train	<s>,</s>	1015	1980	2995
Green Library	train	<s>؛</s>	49	32	81
Green Library	train	<s>!</s>	177	154	331
Green Library	train	<s>؟</s>	121	113	234
WikiNews	train	<s>.</s>	392	13	405
WikiNews	train	<s>,</s>	270	161	431
WikiNews	train	<s>؛</s>	0	0	0
WikiNews	train	<s>!</s>	0	0	0
WikiNews	train	<s>؟</s>	0	0	0
Curriculum	train	<s>.</s>	5105	96	5201
Curriculum	train	<s>,</s>	1813	3253	5066
Curriculum	train	<s>؛</s>	0	0	0
Curriculum	train	<s>!</s>	42	4	46
Curriculum	train	<s>؟</s>	0	0	0
Kashkul	train	<s>.</s>	70	8	78
Kashkul	train	<s>,</s>	26	56	82
Kashkul	train	<s>؛</s>	0	0	0
Kashkul	train	<s>!</s>	5	4	9
Kashkul	train	<s>؟</s>	20	3	23
ZAEBUC	train	<s>.</s>	457	0	457
ZAEBUC	train	<s>,</s>	243	93	336
ZAEBUC	train	<s>؛</s>	2	0	2
ZAEBUC	train	<s>!</s>	1	0	1
ZAEBUC	train	<s>؟</s>	9	1	10
Spacetoon Songs	train	<s>.</s>	430	137	567
Spacetoon Songs	train	<s>,</s>	108	89	197
Spacetoon Songs	train	<s>؛</s>	0	0	0
Spacetoon Songs	train	<s>!</s>	0	0	0
Spacetoon Songs	train	<s>؟</s>	2	0	2
Diwan	train	<s>.</s>	83	24	107
Diwan	train	<s>,</s>	2	170	172
Diwan	train	<s>؛</s>	0	1	1
Diwan	train	<s>!</s>	1	0	1
Diwan	train	<s>؟</s>	2	1	3
Hanging Odes	train	<s>.</s>	0	0	0
Hanging Odes	train	<s>,</s>	0	27	27
Hanging Odes	train	<s>؛</s>	0	0	0
Hanging Odes	train	<s>!</s>	0	1	1
Hanging Odes	train	<s>؟</s>	3	2	5
Old Testament	train	<s>.</s>	609	2205	2814
Old Testament	train	<s>,</s>	1	1839	1840
Old Testament	train	<s>؛</s>	0	1	1
Old Testament	train	<s>!</s>	0	29	29
Old Testament	train	<s>؟</s>	0	133	133
QALB	train	<s>.</s>	461	8	469
QALB	train	<s>,</s>	286	254	540
QALB	train	<s>؛</s>	10	14	24
QALB	train	<s>!</s>	22	4	26
QALB	train	<s>؟</s>	69	4	73
Hindawi	train	<s>.</s>	11339	515	11854
Hindawi	train	<s>,</s>	4251	17315	21566
Hindawi	train	<s>؛</s>	1756	747	2503
Hindawi	train	<s>!</s>	423	98	521
Hindawi	train	<s>؟</s>	773	159	932
Hanada Final Poems	train	<s>.</s>	0	29	29
Hanada Final Poems	train	<s>,</s>	0	28	28
Hanada Final Poems	train	<s>؛</s>	0	0	0
Hanada Final Poems	train	<s>!</s>	0	0	0
Hanada Final Poems	train	<s>؟</s>	10	1	11
BTEC	train	<s>.</s>	994	105	1099
BTEC	train	<s>,</s>	0	279	279
BTEC	train	<s>؛</s>	0	0	0
BTEC	train	<s>!</s>	1	1	2
BTEC	train	<s>؟</s>	575	19	594
ArabicMMLU	train	<s>.</s>	6423	1592	8015
ArabicMMLU	train	<s>,</s>	3	657	660
ArabicMMLU	train	<s>؛</s>	7	23	30
ArabicMMLU	train	<s>!</s>	2	4	6
ArabicMMLU	train	<s>؟</s>	1258	86	1344
Hadith	train	<s>.</s>	226	0	226
Hadith	train	<s>,</s>	719	227	946
Hadith	train	<s>؛</s>	0	0	0
Hadith	train	<s>!</s>	0	0	0
Hadith	train	<s>؟</s>	0	0	0
Majed	train	<s>.</s>	6645	971	7616
Majed	train	<s>,</s>	2150	2831	4981
Majed	train	<s>؛</s>	1	1	2
Majed	train	<s>!</s>	1273	30	1303
Majed	train	<s>؟</s>	565	199	764
